page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
1577,Zatanna Zatara (New Earth),\/wiki\/Zatanna_Zatara_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,439,"1964, November",1964
6791,Aztar (New Earth),\/wiki\/Aztar_(New_Earth),Secret Identity,,White Eyes,,Male Characters,,Living Characters,436,"1940, February",1940
1481,Theodore Kord (New Earth),\/wiki\/Theodore_Kord_(New_Earth),Secret Identity,,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,429,"1986, February",1986
1559,Michael Jon Carter (New Earth),\/wiki\/Michael_Jon_Carter_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,427,"1986, February",1986
1607,Cassandra Sandsmark (New Earth),\/wiki\/Cassandra_Sandsmark_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,423,"1996, January",1996
1680,Kent Nelson (New Earth),\/wiki\/Kent_Nelson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,422,"1940, May",1940
1662,Harvey Bullock (New Earth),\/wiki\/Harvey_Bullock_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,413,"1974, July",1974
1864,Rachel Roth (New Earth),\/wiki\/Rachel_Roth_(New_Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,399,"1980, October",1980
37696,Helena Bertinelli (New Earth),\/wiki\/Helena_Bertinelli_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,393,"1989, April",1989
1981,Wesley Dodds (New Earth),\/wiki\/Wesley_Dodds_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,391,"1939, April",1939
1514,Uxas (New Earth),\/wiki\/Uxas_(New_Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,388,"1970, December",1970
1560,Nathaniel Adam (New Earth),\/wiki\/Nathaniel_Adam_(New_Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,386,"1987, March",1987
23652,Ronald Raymond (New Earth),\/wiki\/Ronald_Raymond_(New_Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,386,"1978, March",1978
2433,Red Tornado (New Earth),\/wiki\/Red_Tornado_(New_Earth),Secret Identity,Good Characters,Green Eyes,,Male Characters,,Living Characters,374,"1968, August",1968
1704,John Constantine (New Earth),\/wiki\/John_Constantine_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,Living Characters,371,"1984, June",1984
1995,Albert Pratt (New Earth),\/wiki\/Albert_Pratt_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,370,"1940, October",1940
1684,Charles McNider (New Earth),\/wiki\/Charles_McNider_(New_Earth),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,361,"1941, April",1941
1687,Theodore Knight (New Earth),\/wiki\/Theodore_Knight_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,356,"1941, April",1941
1564,Lobo (New Earth),\/wiki\/Lobo_(New_Earth),Public Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,353,"1983, June",1983
1488,Perry White (New Earth),\/wiki\/Perry_White_(New_Earth),Public Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,350,"1986, October",1986
1554,John Henry Irons (New Earth),\/wiki\/John_Henry_Irons_(New_Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,345,"1993, June",1993
1619,Jefferson Pierce (New Earth),\/wiki\/Jefferson_Pierce_(New_Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,344,"1977, April",1977
1549,Slade Wilson (New Earth),\/wiki\/Slade_Wilson_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,336,"1980, December",1980
1599,Phantom Stranger (New Earth),\/wiki\/Phantom_Stranger_(New_Earth),Secret Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,335,"1952, September",1952
1723,Beatriz da Costa (New Earth),\/wiki\/Beatriz_da_Costa_(New_Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,325,"1982, June",1982
1528,William Batson (New Earth),\/wiki\/William_Batson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,321,"1940, February",1940
1625,Carol Ferris (New Earth),\/wiki\/Carol_Ferris_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,319,"1959, October",1959
4030,Clifford Steele (New Earth),\/wiki\/Clifford_Steele_(New_Earth),Public Identity,,Photocellular Eyes,,Male Characters,,Living Characters,314,"1963, June",1963
3458,Etrigan (New Earth),\/wiki\/Etrigan_(New_Earth),Public Identity,Neutral Characters,Red Eyes,,Male Characters,,Living Characters,311,"1972, September",1972
39947,Jennifer-Lynn Hayden (New Earth),\/wiki\/Jennifer-Lynn_Hayden_(New_Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,309,"1983, September",1983
261362,Swamp Thing (New Earth),\/wiki\/Swamp_Thing_(New_Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,309,"1972, November",1972
8856,Renee Montoya (New Earth),\/wiki\/Renee_Montoya_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,308,"1992, March",1992
1471,Harvey Dent (New Earth),\/wiki\/Harvey_Dent_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,306,"1942, August",1942
1696,Courtney Whitmore (New Earth),\/wiki\/Courtney_Whitmore_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,305,"1999, July",1999
1894,Kendra Saunders (New Earth),\/wiki\/Kendra_Saunders_(New_Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Deceased Characters,301,"1999, August",1999
1700,Michael Holt (New Earth),\/wiki\/Michael_Holt_(New_Earth),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,300,"1997, June",1997
1825,Kilowog (New Earth),\/wiki\/Kilowog_(New_Earth),Public Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,299,"1986, June",1986
1870,Kara Zor-El (New Earth),\/wiki\/Kara_Zor-El_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,297,"2004, May",2004
7155,Jonah Hex (New Earth),\/wiki\/Jonah_Hex_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,291,"1972, March",1972
1681,Rex Tyler (New Earth),\/wiki\/Rex_Tyler_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,288,"1940, March",1940
1464,Pamela Isley (New Earth),\/wiki\/Pamela_Isley_(New_Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,286,"1966, June",1966
1685,Pieter Cross (New Earth),\/wiki\/Pieter_Cross_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,284,"1999, February",1999
1885,Jonathan L. Thunder (New Earth),\/wiki\/Jonathan_L._Thunder_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,282,"1940, January",1940
2657,Mari McCabe (New Earth),\/wiki\/Mari_McCabe_(New_Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Female Characters,,Living Characters,268,"1981, July",1981
1568,Scott Free (New Earth),\/wiki\/Scott_Free_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,268,"1971, April",1971
173437,Martha Clark (New Earth),\/wiki\/Martha_Clark_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,266,"1986, October",1986
1839,Boston Brand (New Earth),\/wiki\/Boston_Brand_(New_Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Deceased Characters,262,"1967, October",1967
21110,Daniel Turpin (New Earth),\/wiki\/Daniel_Turpin_(New_Earth),Public Identity,,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,261,"1942, June",1942
13108,John Zatara (New Earth),\/wiki\/John_Zatara_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,256,"1938, June",1938
24301,Jonathan Kent (New Earth),\/wiki\/Jonathan_Kent_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,254,"1986, October",1986
1462,Oswald Cobblepot (New Earth),\/wiki\/Oswald_Cobblepot_(New_Earth),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,253,"1941, December",1941
1788,Tatsu Yamashiro (New Earth),\/wiki\/Tatsu_Yamashiro_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,252,"1983, July",1983
4079,Lawrence Trainor (New Earth),\/wiki\/Lawrence_Trainor_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,250,"1963, June",1963
11039,Albert Rothstein (New Earth),\/wiki\/Albert_Rothstein_(New_Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,245,"1983, September",1983
1848,Brion Markov (New Earth),\/wiki\/Brion_Markov_(New_Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,245,"1983, July",1983
1866,Sanderson Hawkins (New Earth),\/wiki\/Sanderson_Hawkins_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,241,"1941, December",1941
1900,Jonathan Chambers (New Earth),\/wiki\/Jonathan_Chambers_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,239,"1941, September",1941
1547,Orion (New Earth),\/wiki\/Orion_(New_Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Deceased Characters,237,"1971, March",1971
1585,Thaal Sinestro (New Earth),\/wiki\/Thaal_Sinestro_(New_Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Male Characters,,Living Characters,237,"1961, August",1961
1494,Cassandra Cain (New Earth),\/wiki\/Cassandra_Cain_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,235,"1999, July",1999
1445,Jason Todd (New Earth),\/wiki\/Jason_Todd_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,235,"1987, June",1987
1483,Susan Dearbon (New Earth),\/wiki\/Susan_Dearbon_(New_Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Deceased Characters,235,"1961, March",1961
1468,Jean-Paul Valley (New Earth),\/wiki\/Jean-Paul_Valley_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,234,"1992, October",1992
14823,Hippolyta (New Earth),\/wiki\/Hippolyta_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,231,"1987, February",1987
1785,Joseph Wilson (New Earth),\/wiki\/Joseph_Wilson_(New_Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,229,"1984, May",1984
1574,Bernhard Baker (New Earth),\/wiki\/Bernhard_Baker_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,229,"1965, September",1965
12766,Sylvester Pemberton (New Earth),\/wiki\/Sylvester_Pemberton_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,229,"1941, October",1941
14002,Jesse Chambers (New Earth),\/wiki\/Jesse_Chambers_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,228,"1992, August",1992
1645,Floyd Lawton (New Earth),\/wiki\/Floyd_Lawton_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,227,"1950, June",1950
12672,Mera (New Earth),\/wiki\/Mera_(New_Earth),Public Identity,,Blue Eyes,Red Hair,Female Characters,,Living Characters,226,"1963, October",1963
1897,Tora Olafsdotter (New Earth),\/wiki\/Tora_Olafsdotter_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,225,"1988, April",1988
1522,George Harkness (New Earth),\/wiki\/George_Harkness_(New_Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,224,"1960, December",1960
1606,Amanda Waller (New Earth),\/wiki\/Amanda_Waller_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,222,"1986, November",1986
1675,Jonathan Crane (New Earth),\/wiki\/Jonathan_Crane_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,222,"1941, September",1941
1519,Leonard Snart (New Earth),\/wiki\/Leonard_Snart_(New_Earth),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,219,"1957, June",1957
174276,Shiera Sanders (New Earth),\/wiki\/Shiera_Sanders_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Living Characters,219,"1940, January",1940
1953,Maxwell Lord IV (New Earth),\/wiki\/Maxwell_Lord_IV_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,218,"1987, May",1987
8056,Jeb Stuart (New Earth),\/wiki\/Jeb_Stuart_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,218,"1961, May",1961
38764,Damian Wayne (Prime Earth),\/wiki\/Damian_Wayne_(Prime_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,216,"1987, September",1987
1557,Big Barda (New Earth),\/wiki\/Big_Barda_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,216,"1971, October",1971
2698,Niles Caulder (New Earth),\/wiki\/Niles_Caulder_(New_Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,214,"1963, June",1963
1868,James Corrigan (New Earth),\/wiki\/James_Corrigan_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,214,"1940, February",1940
65039,Samuel Bradley (New Earth),\/wiki\/Samuel_Bradley_(New_Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Male Characters,,Living Characters,213,"1937, March",1937
1682,Richard Tyler (New Earth),\/wiki\/Richard_Tyler_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,212,"1985, November",1985
8049,James Ewell Brown Stuart (New Earth),\/wiki\/James_Ewell_Brown_Stuart_(New_Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,212,"1961, May",1961
1862,Todd Rice (New Earth),\/wiki\/Todd_Rice_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,208,"1983, September",1983
13358,Yz (New Earth),\/wiki\/Yz_(New_Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,207,"1940, January",1940
5384,Matrix (Pocket Universe),\/wiki\/Matrix_(Pocket_Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,206,"1988, April",1988
64094,Wolfgang Winks (New Earth),\/wiki\/Wolfgang_Winks_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,206,"1942, November",1942
7288,William Glenmorgan (New Earth),\/wiki\/William_Glenmorgan_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,199,"1940, June",1940
1453,Stephanie Brown (New Earth),\/wiki\/Stephanie_Brown_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,198,"1992, August",1992
1865,Raymond Terrill (New Earth),\/wiki\/Raymond_Terrill_(New_Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,192,"1992, February",1992
47056,Adam Blake (New Earth),\/wiki\/Adam_Blake_(New_Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,191,"1951, June",1951
1579,Kimiyo Hoshi (New Earth),\/wiki\/Kimiyo_Hoshi_(New_Earth),Secret Identity,,Black Eyes,Black Hair,Female Characters,,Living Characters,189,"1985, July",1985
1940,Jack Ryder (New Earth),\/wiki\/Jack_Ryder_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,188,"1968, April",1968
1620,Vandar Adg (New Earth),\/wiki\/Vandar_Adg_(New_Earth),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,188,"1943, December",1943
11867,Justin Arthur (New Earth),\/wiki\/Justin_Arthur_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,184,"1941, September",1941
1434,Max Mercury (New Earth),\/wiki\/Max_Mercury_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,183,"1940, November",1940
16667,Abigail Arcane (New Earth),\/wiki\/Abigail_Arcane_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,182,"1973, January",1973
8235,Thomas Haukins (New Earth),\/wiki\/Thomas_Haukins_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,181,"1947, June",1947
1658,Margaret Sawyer (New Earth),\/wiki\/Margaret_Sawyer_(New_Earth),Public Identity,,Blue Eyes,,Female Characters,Homosexual Characters,Living Characters,180,"1987, April",1987
37701,Waylon Jones (New Earth),\/wiki\/Waylon_Jones_(New_Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,180,"1983, March",1983
12408,Travis Morgan (New Earth),\/wiki\/Travis_Morgan_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,180,"1975, November",1975
1518,Gorilla Grodd (New Earth),\/wiki\/Gorilla_Grodd_(New_Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,179,"1959, May",1959
4778,Talia al Ghul (New Earth),\/wiki\/Talia_al_Ghul_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,177,"1971, May",1971
1829,Adam Strange (New Earth),\/wiki\/Adam_Strange_(New_Earth),Public Identity,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,177,"1958, December",1958
11870,Patrick Dugan (New Earth),\/wiki\/Patrick_Dugan_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,177,"1941, October",1941
1909,Daniel Cassidy (New Earth),\/wiki\/Daniel_Cassidy_(New_Earth),Secret Identity,Good Characters,Yellow Eyes,,Male Characters,,Living Characters,176,"1984, June",1984
327940,James Harper Clone (New Earth),\/wiki\/James_Harper_Clone_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,176,"1971, January",1971
2736,Thomas Kalmaku (New Earth),\/wiki\/Thomas_Kalmaku_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,176,"1960, October",1960
13102,Gabrielle Doe (New Earth),\/wiki\/Gabrielle_Doe_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,175,"1983, July",1983
2606,Henry Hall (New Earth),\/wiki\/Henry_Hall_(New_Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,175,"1968, June",1968
1717,Connor Hawke (New Earth),\/wiki\/Connor_Hawke_(New_Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,,Living Characters,174,"1994, October",1994
3628,Linda Park (New Earth),\/wiki\/Linda_Park_(New_Earth),Public Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,174,"1989, July",1989
1583,Cyrus Gold (New Earth),\/wiki\/Cyrus_Gold_(New_Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,,Deceased Characters,174,"1944, October",1944
1461,Edward Nashton (New Earth),\/wiki\/Edward_Nashton_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,173,"1988, January",1988
144959,Arisia Rrab (New Earth),\/wiki\/Arisia_Rrab_(New_Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Female Characters,,Living Characters,173,"1981, May",1981
11604,Robert Crane (New Earth),\/wiki\/Robert_Crane_(New_Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,171,"1942, April",1942
3622,Joan Williams (New Earth),\/wiki\/Joan_Williams_(New_Earth),Public Identity,,Blue Eyes,Grey Hair,Female Characters,,Living Characters,171,"1940, January",1940
4895,William Magnus (New Earth),\/wiki\/William_Magnus_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,170,"1962, April",1962
